<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Saderat Bank,20250205, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250204, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250203, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250202, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250201, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250129, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250127, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250126, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250125, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250122, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250121, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250120, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250119, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250118, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250115, 0.00, 0.00, 0.00, 611.00,0.00, 0,0,D,611.00,613.00
Saderat Bank,20250113, 0.00, 0.00, 0.00, 2220.00,0.00, 0,0,D,2220.00,2227.00
Saderat Bank,20250112, 0.00, 0.00, 0.00, 2220.00,0.00, 0,0,D,2220.00,2227.00
Saderat Bank,20250111, 0.00, 0.00, 0.00, 2220.00,0.00, 0,0,D,2220.00,2227.00
Saderat Bank,20250108, 0.00, 0.00, 0.00, 2220.00,0.00, 0,0,D,2220.00,2227.00
Saderat Bank,20250107, 2220.00, 2261.00, 2167.00, 2220.00,1665726256737.00, 750461285,13479,D,2210.00,2227.00
Saderat Bank,20250106, 2240.00, 2251.00, 2194.00, 2210.00,1004500655587.00, 454594000,8190,D,2261.00,2220.00
Saderat Bank,20250105, 2295.00, 2300.00, 2256.00, 2261.00,1674955381669.00, 740927326,10182,D,2325.00,2256.00
Saderat Bank,20250104, 2284.00, 2358.00, 2284.00, 2325.00,1573704717504.00, 676744327,11901,D,2298.00,2299.00
Saderat Bank,20250101, 2320.00, 2333.00, 2260.00, 2298.00,933698025755.00, 406320409,7907,D,2293.00,2293.00
Saderat Bank,20241231, 2265.00, 2301.00, 2200.00, 2293.00,3150873451764.00, 1373998762,12132,D,2234.00,2301.00
Saderat Bank,20241230, 2200.00, 2289.00, 2175.00, 2234.00,1342804139124.00, 601181482,9396,D,2242.00,2234.00
Saderat Bank,20241229, 2260.00, 2310.00, 2237.00, 2242.00,654976918856.00, 292191869,4464,D,2306.00,2237.00
Saderat Bank,20241228, 2282.00, 2323.00, 2235.00, 2306.00,1848091323343.00, 801357664,9857,D,2256.00,2273.00
Saderat Bank,20241225, 2297.00, 2350.00, 2230.00, 2256.00,1885246878230.00, 835502239,10802,D,2298.00,2250.00
Saderat Bank,20241224, 2321.00, 2355.00, 2251.00, 2298.00,1198137703642.00, 521376960,7029,D,2296.00,2285.00
Saderat Bank,20241223, 2243.00, 2349.00, 2240.00, 2296.00,1242575619000.00, 541152874,7839,D,2293.00,2306.00
Saderat Bank,20241222, 2263.00, 2354.00, 2224.00, 2293.00,1220519165655.00, 532294347,7284,D,2287.00,2257.00
Saderat Bank,20241221, 2287.00, 2287.00, 2287.00, 2287.00,1122761063192.00, 490931816,3087,D,2221.00,2287.00
Saderat Bank,20241218, 2283.00, 2283.00, 2215.00, 2221.00,1487367170110.00, 669704569,7552,D,2283.00,2216.00
Saderat Bank,20241217, 2277.00, 2316.00, 2277.00, 2283.00,1097464838623.00, 480796603,5559,D,2347.00,2277.00
Saderat Bank,20241216, 2350.00, 2421.00, 2291.00, 2347.00,2294632267260.00, 977624133,12430,D,2361.00,2291.00
Saderat Bank,20241215, 2388.00, 2388.00, 2290.00, 2361.00,4827923227669.00, 2044859241,21223,D,2319.00,2354.00
Saderat Bank,20241214, 2319.00, 2319.00, 2319.00, 2319.00,1109580749157.00, 478473803,3244,D,2252.00,2319.00
Saderat Bank,20241211, 2176.00, 2270.00, 2145.00, 2252.00,1826947056296.00, 811393837,7567,D,2204.00,2270.00
Saderat Bank,20241210, 2209.00, 2209.00, 2166.00, 2204.00,3318906633368.00, 1505851965,13460,D,2145.00,2179.00
Saderat Bank,20241209, 2145.00, 2145.00, 2145.00, 2145.00,1246756535310.00, 581238478,3733,D,2083.00,2145.00
Saderat Bank,20241208, 2035.00, 2090.00, 1983.00, 2083.00,2434495587873.00, 1168964858,10303,D,2030.00,2090.00
Saderat Bank,20241207, 2035.00, 2035.00, 1955.00, 2030.00,3496980265123.00, 1722237133,13687,D,1976.00,2035.00
Saderat Bank,20241204, 1927.00, 1976.00, 1927.00, 1976.00,1339567603974.00, 678062563,4375,D,1919.00,1976.00
Saderat Bank,20241203, 1921.00, 1921.00, 1884.00, 1919.00,1048998672093.00, 546671467,4804,D,1866.00,1921.00
Saderat Bank,20241202, 1866.00, 1866.00, 1866.00, 1866.00,274848120354.00, 147292669,1248,D,1812.00,1866.00
Saderat Bank,20241201, 1802.00, 1857.00, 1802.00, 1812.00,354308013235.00, 195507300,2973,D,1857.00,1820.00
Saderat Bank,20241130, 1900.00, 1930.00, 1842.00, 1857.00,719816825691.00, 387680262,4573,D,1898.00,1842.00
Saderat Bank,20241127, 1878.00, 1955.00, 1873.00, 1898.00,1028823224900.00, 542128288,6954,D,1930.00,1918.00
Saderat Bank,20241126, 1962.00, 1962.00, 1850.00, 1930.00,1319968757980.00, 684058039,7853,D,1905.00,1865.00
Saderat Bank,20241125, 1905.00, 1905.00, 1873.00, 1905.00,502897775250.00, 263993639,2426,D,1850.00,1905.00
Saderat Bank,20241124, 1829.00, 1851.00, 1815.00, 1850.00,447503011472.00, 241896657,2161,D,1798.00,1851.00
Saderat Bank,20241123, 1770.00, 1801.00, 1749.00, 1798.00,569196416471.00, 316643947,3671,D,1749.00,1801.00
Saderat Bank,20241120, 1746.00, 1788.00, 1746.00, 1749.00,412909826404.00, 236049692,2826,D,1800.00,1746.00
Saderat Bank,20241119, 1812.00, 1812.00, 1740.00, 1800.00,1044928491690.00, 580523361,5640,D,1760.00,1760.00
Saderat Bank,20241118, 1760.00, 1760.00, 1760.00, 1760.00,223425259200.00, 126946170,841,D,1709.00,1760.00
Saderat Bank,20241117, 1746.00, 1746.00, 1670.00, 1709.00,332004958025.00, 194288361,2259,D,1698.00,1684.00
Saderat Bank,20241116, 1698.00, 1698.00, 1698.00, 1698.00,155186254692.00, 91393554,842,D,1649.00,1698.00
Saderat Bank,20241113, 1598.00, 1664.00, 1598.00, 1649.00,189371188776.00, 114866953,1660,D,1634.00,1664.00
Saderat Bank,20241112, 1620.00, 1675.00, 1600.00, 1634.00,157846910511.00, 96573519,1710,D,1640.00,1612.00
Saderat Bank,20241111, 1643.00, 1643.00, 1611.00, 1640.00,414775403720.00, 252948276,2428,D,1596.00,1627.00
Saderat Bank,20241110, 1596.00, 1596.00, 1596.00, 1596.00,127166118324.00, 79678019,595,D,1550.00,1596.00
Saderat Bank,20241109, 1551.00, 1551.00, 1551.00, 1550.00,120962266656.00, 77989856,579,D,1506.00,1551.00
Saderat Bank,20241106, 1530.00, 1560.00, 1488.00, 1506.00,133470722066.00, 88596887,1427,D,1534.00,1540.00
Saderat Bank,20241105, 1526.00, 1566.00, 1514.00, 1534.00,73754678531.00, 48165394,1028,D,1540.00,1543.00
